id,Liver_GSH,Liver_GSSG,Liver_Total_GSH,Liver_GSH_GSSG_Ratio,Liver_Redox_Potential_GSSG_2GSH,Liver_NADH,Liver_NADP,Liver_NADPH,Liver_NADP_NADPH_Ratio,sex,generation
DO-1,46.189,0.441,47.071,104.688,-201.549,NA,NA,0.604,NA,M,30
DO-2,60.649,0.526,61.701,115.305,-206.517,3.066,NA,0.609,NA,M,30
DO-3,109.341,1.121,111.584,97.5,-212.193,NA,NA,0.642,NA,M,30
DO-4,83.233,0.71,84.653,117.201,-210.998,NA,NA,0.647,NA,M,30
DO-5,30.433,0.509,31.451,59.798,-188.393,NA,NA,0.766,NA,M,30
DO-6,54.483,0.575,55.632,94.831,-202.441,3.516,NA,0.374,NA,M,30
DO-7,43.243,0.451,44.145,95.786,-199.466,NA,NA,0.606,NA,M,30
DO-8,38.471,0.495,39.461,77.696,-195.073,NA,NA,0.649,NA,M,30
DO-9,44.49,0.646,45.782,68.878,-195.409,NA,NA,0.547,NA,M,30
DO-10,63.417,0.635,64.686,99.94,-205.192,NA,0.451,0.159,2.835,M,30
DO-11,97.954,1.313,100.58,74.61,-207.11,NA,NA,0.786,NA,M,30
DO-12,73.065,0.853,74.772,85.642,-205.02,NA,NA,0.608,NA,M,30
DO-13,37.024,0.485,37.995,76.275,-194.309,NA,NA,0.396,NA,M,30
DO-14,113.359,1.937,117.232,58.53,-205.809,NA,NA,0.501,NA,M,30
DO-15,43.777,0.623,45.024,70.228,-195.453,4.564,NA,0.72,NA,M,30
DO-16,56.383,1.139,58.661,49.507,-194.152,NA,0.552,0.436,1.267,M,30
DO-17,31.545,0.501,32.546,63.018,-189.582,NA,NA,0.777,NA,M,30
DO-18,64.133,1.388,66.909,46.196,-194.954,NA,NA,0.238,NA,M,30
DO-19,94.55,0.997,96.544,94.805,-209.859,3.906,0.924,0.516,1.792,M,30
DO-20,40.377,0.517,41.411,78.071,-195.789,2.838,0.575,0.424,1.356,M,30
DO-21,41.869,0.429,42.728,97.55,-199.277,3.009,0.829,0.433,1.914,M,30
DO-22,100.066,2.059,104.184,48.607,-201.629,3.531,0.334,0.67,0.499,M,30
DO-23,71.729,1.098,73.924,65.348,-201.131,2.732,0.46,0.456,1.007,M,30
DO-24,80.849,0.918,82.685,88.041,-206.755,2.523,0.463,0.223,2.082,M,30
DO-25,61.53,0.734,62.999,83.788,-202.412,1.954,0.801,0.276,2.906,M,30
DO-27,68.346,1.47,71.286,46.492,-195.897,2.307,0.724,0.334,2.167,M,30
DO-28,99.552,1.097,101.746,90.745,-209.964,2.363,0.525,0.488,1.075,M,30
DO-29,66.534,0.603,67.739,110.391,-207.177,2.866,0.636,0.263,2.42,M,30
DO-30,19.669,0.213,20.094,92.445,-188.381,3.168,0.53,0.359,1.477,M,30
DO-31,73.372,1.662,76.696,44.151,-196.157,2.25,0.641,0.403,1.59,M,30
DO-32,42.164,0.809,43.781,52.134,-190.936,3.106,0.417,0.609,0.685,M,30
DO-33,94.989,1.854,98.696,51.248,-201.64,3.333,0.399,0.469,0.851,M,30
DO-34,18.045,0.239,18.523,75.506,-184.496,3.829,0.579,0.405,1.429,M,30
DO-35,59.811,1.21,62.232,49.413,-194.921,2.635,0.666,0.337,1.972,M,30
DO-36,33.472,0.575,34.621,58.251,-189.321,2.433,0.421,0.527,0.798,M,30
DO-38,9.843,0.17,10.183,57.836,-172.747,2.255,0.814,0.333,2.445,M,30
DO-39,52.436,0.632,53.7,82.948,-200.123,1.409,0.502,0.295,1.701,M,30
DO-41,33.992,0.74,35.472,45.929,-186.329,1.696,0.469,0.31,1.514,M,30
DO-42,74.136,1.693,77.522,43.784,-196.184,1.61,0.507,0.288,1.76,M,30
DO-44,41.694,0.674,43.043,61.841,-193.084,1.927,0.551,0.23,2.392,M,30
DO-45,57.554,0.595,58.744,96.683,-203.44,0.653,0.401,0.271,1.484,M,30
DO-46,39.251,1.018,41.288,38.543,-185.906,1.96,0.548,0.236,2.32,M,30
DO-47,58.81,0.982,60.774,59.864,-197.277,1.407,0.435,0.401,1.087,M,30
DO-48,67.772,1.141,70.053,59.407,-199.083,1.554,0.429,0.354,1.213,M,30
DO-49,65.096,0.754,66.603,86.383,-203.581,1.581,0.794,0.151,5.245,F,30
DO-50,66.203,1.44,69.083,45.984,-195.32,1.968,0.736,0.182,4.05,F,30
DO-51,38.048,0.325,38.697,117.133,-200.451,2.011,0.782,0.121,6.444,F,30
DO-52,43.485,0.551,44.586,78.973,-196.942,1.628,0.647,0.267,2.423,F,30
DO-53,47.974,0.664,49.301,72.288,-197.074,0.953,0.717,0.107,6.71,F,30
DO-54,78.195,1.321,80.838,59.179,-200.958,1.172,0.628,0.113,5.572,F,30
DO-55,58.039,1.022,60.082,56.816,-196.396,1.551,0.621,0.104,5.993,F,30
DO-56,41.333,0.48,42.292,86.18,-197.435,1.017,0.731,0.12,6.075,F,30
DO-57,54.147,0.597,55.34,90.721,-201.762,0.986,0.694,0.35,1.984,F,30
DO-59,35.561,0.282,36.125,126.066,-200.531,3.601,1.058,0.412,2.569,F,30
DO-60,52.215,0.586,53.386,89.18,-201.042,4.405,1.057,0.721,1.467,F,30
DO-61,33.629,0.443,34.515,75.925,-192.952,3.914,0.882,0.355,2.488,F,30
DO-62,38.041,0.382,38.805,99.569,-198.262,2.932,0.647,0.378,1.713,F,30
DO-63,77.579,1.025,79.628,75.705,-204.167,3.225,1.007,0.391,2.576,F,30
DO-64,22.147,0.272,22.691,81.455,-188.275,3.062,0.891,0.324,2.75,F,30
DO-65,38.714,0.596,39.905,64.999,-192.756,1.864,0.854,0.466,1.831,F,30
DO-66,55.925,0.56,57.045,99.901,-203.494,2.842,0.723,0.687,1.053,F,30
DO-67,63.425,0.978,65.38,64.859,-199.373,3.917,1.289,0.349,3.697,F,30
DO-68,41.32,0.781,42.881,52.912,-190.863,2.693,0.967,0.305,3.172,F,30
DO-69,21.343,0.249,21.841,85.793,-188.476,1.839,0.873,0.73,1.196,F,30
DO-70,55.792,0.574,56.941,97.179,-203.091,2.45,0.75,0.296,2.529,F,30
DO-71,35.096,0.481,36.058,72.977,-192.994,3.322,0.808,0.405,1.993,F,30
DO-72,67.491,0.795,69.081,84.89,-203.833,1.171,0.746,0.513,1.454,F,30
DO-73,57.641,1.291,60.222,44.661,-193.062,1.401,1.031,0.348,2.964,F,30
DO-74,53.704,0.605,54.914,88.751,-201.355,2.89,1.216,0.249,4.877,F,30
DO-75,56.075,0.879,57.833,63.797,-197.492,2.856,1.064,0.21,5.067,F,30
DO-76,29.623,0.492,30.607,60.183,-188.116,2.223,0.883,0.279,3.16,F,30
DO-77,42.421,0.522,43.466,81.246,-196.991,2.414,0.836,0.169,4.962,F,30
DO-78,57.887,1.092,60.072,52.989,-195.422,3.703,0.962,0.25,3.852,F,30
DO-79,70.137,1.925,73.986,36.444,-192.967,2.946,0.818,0.26,3.143,F,30
DO-80,42.097,0.907,43.91,46.432,-189.355,3.485,0.988,0.204,4.842,F,30
DO-81,59.944,1.061,62.065,56.516,-196.759,1.677,0.971,0.269,3.603,F,30
DO-82,54.085,0.711,55.507,76.07,-199.375,2.892,0.445,0.429,1.036,F,30
DO-83,29.302,0.639,30.58,45.826,-184.3,2.212,0.43,0.093,4.633,F,30
DO-84,17.017,0.434,17.886,39.173,-174.872,2.089,0.859,0.13,6.632,F,30
DO-85,41.923,0.562,43.046,74.651,-195.692,1.626,0.767,0.21,3.653,F,30
DO-86,58.666,0.924,60.514,63.481,-198.034,3.012,0.707,0.168,4.198,F,30
DO-87,58.6,0.877,60.354,66.814,-198.708,1.817,0.879,0.105,8.351,F,30
DO-88,30.238,0.392,31.021,77.236,-191.751,2.26,0.459,0.142,3.223,F,30
DO-89,48.668,1.203,51.074,40.466,-189.456,0.901,1.51,0.146,10.334,F,30
DO-90,53.045,0.347,53.739,152.98,-208.52,2.834,1.162,0.565,2.057,F,30
DO-91,38.296,1.072,40.439,35.74,-184.557,2.13,1.313,0.345,3.808,F,30
DO-92,37.858,0.8,39.458,47.314,-188.18,1.611,1.067,0.258,4.141,F,30
DO-93,60.273,1.323,62.92,45.549,-193.929,1.939,0.642,0.323,1.984,F,30
DO-94,58.15,0.884,59.917,65.792,-198.396,1.828,0.726,0.192,3.784,F,30
DO-95,75.541,1.027,77.595,73.539,-203.418,2.623,0.901,0.302,2.982,F,30
DO-96,44.915,0.58,46.075,77.44,-197.114,2,0.659,0.098,6.69,F,30
DO-97,55.868,1.752,59.371,31.894,-188.109,2.497,0.671,0.159,4.218,F,30
DO-98,44.531,1.039,46.609,42.863,-189.035,1.859,0.742,0.106,7.034,F,30
99,40.565,0.498,41.56,81.486,-196.428,3.52,0.422,0.18,2.343,M,32
101,61.663,0.763,63.188,80.865,-201.963,4.412,0.412,0.178,2.316,M,32
102,35.474,0.363,36.199,97.813,-197.081,4.536,0.588,0.175,3.349,M,32
103,32.535,0.344,33.222,94.704,-195.482,3.898,0.51,0.189,2.692,M,32
104,54.108,0.449,55.006,120.507,-205.574,2.915,0.353,0.226,1.564,M,32
105,48.125,0.354,48.832,136.008,-205.626,4.275,0.33,0.1,3.3,M,32
106,54.707,0.661,56.03,82.719,-200.657,4,0.367,0.228,1.613,M,32
107,43.249,0.626,44.501,69.123,-195.076,3.739,0.29,0.128,2.257,M,32
109,82.234,0.538,83.31,152.937,-214.418,4.141,0.255,0.198,1.287,M,32
110,38.11,0.573,39.255,66.564,-192.865,2.607,0.548,0.17,3.232,M,32
111,70.993,0.723,72.44,98.148,-206.468,3.012,0.219,0.245,0.895,M,32
113,61.031,0.57,62.171,107.04,-205.6,2.902,0.313,0.149,2.099,M,32
114,56.986,1.114,59.213,51.173,-194.741,3.21,0.277,0.218,1.266,M,32
115,34.88,0.358,35.597,97.347,-196.79,3.084,0.422,0.15,2.819,M,32
116,43.797,1.229,46.255,35.629,-186.322,3.01,0.356,0.07,5.087,M,32
117,41.446,0.696,42.838,59.58,-192.502,2.785,0.343,0.087,3.942,M,32
118,54.411,0.756,55.922,71.988,-198.713,3.362,0.733,0.35,2.095,M,32
119,88.263,1.658,91.58,53.226,-201.161,2.881,0.52,0.242,2.149,M,32
121,39.004,0.359,39.721,108.685,-199.777,4.979,0.78,0.344,2.269,M,32
122,58.994,0.916,60.826,64.401,-198.303,2.553,0.885,0.139,6.352,M,32
123,65.42,0.774,66.967,84.537,-203.357,3.338,0.629,0.215,2.932,M,32
124,62.07,0.983,64.036,63.157,-198.724,2.519,1.028,0.277,3.711,M,32
125,56.214,0.584,57.382,96.244,-203.062,3.789,0.85,0.457,1.858,M,32
126,88.607,1.457,91.521,60.803,-203.005,3.302,0.933,0.161,5.8,M,32
127,37.275,0.584,38.444,63.784,-191.992,3.684,0.727,0.287,2.528,M,32
128,65.643,1.463,68.57,44.854,-194.871,2.731,0.77,0.339,2.273,M,32
129,58.592,0.624,59.84,93.864,-203.282,3.483,0.835,0.301,2.777,M,32
130,69.616,0.942,71.499,73.931,-202.39,2.33,0.157,0.34,0.46,M,32
131,34.452,0.292,35.035,118.009,-199.215,4.784,0.921,0.347,2.655,M,32
132,59.103,0.805,60.712,73.434,-200.094,3.277,0.309,0.134,2.297,M,32
133,52.55,0.637,53.824,82.479,-200.076,3.387,0.666,0.274,2.433,M,32
134,65.318,0.417,66.151,156.81,-211.655,4.488,0.741,0.34,2.179,M,32
135,52.914,0.752,54.418,70.369,-198.031,3.957,0.503,0.346,1.454,M,32
136,52.433,0.364,53.16,144.187,-207.566,4.153,0.622,0.162,3.849,M,32
137,67.826,0.564,68.955,120.168,-208.579,3.946,1.167,0.416,2.807,M,32
138,NA,1.289,NA,NA,NA,5.008,1.007,0.595,1.693,M,32
139,77.132,0.53,78.192,145.586,-212.893,3.141,0.708,0.421,1.683,M,32
140,51.13,0.348,51.826,146.931,-207.481,3.326,0.812,0.322,2.521,M,32
141,67.622,0.775,69.171,87.305,-204.237,1.681,0.892,0.347,2.571,M,32
142,43.232,0.694,44.62,62.292,-193.669,2.899,0.996,0.254,3.923,M,32
143,77.795,0.915,79.625,85.006,-205.764,3.63,0.794,0.584,1.36,M,32
144,56.232,0.755,57.741,74.522,-199.622,3.438,0.661,0.614,1.076,M,32
145,55.115,0.755,56.625,72.992,-199.073,3.333,0.781,0.247,3.16,M,32
146,38.114,0.225,38.563,169.761,-205.471,4.315,0.774,0.239,3.241,M,32
147,78.682,2.288,83.258,34.392,-193.734,3.973,0.86,0.221,3.885,M,32
148,42.728,0.348,43.424,122.759,-202.645,2.179,0.778,0.182,4.28,M,32
149,41.773,0.421,42.614,99.286,-199.483,2.981,0.653,0.295,2.211,M,32
150,77.036,0.809,78.654,95.217,-207.16,3.489,0.609,0.329,1.848,M,32
151,54.379,0.561,55.501,97.002,-202.721,2.954,0.623,0.323,1.928,M,32
152,59.979,0.866,61.711,69.23,-199.499,3.646,0.613,0.549,1.117,M,32
153,36.735,0.402,37.538,91.472,-196.649,3.32,0.708,0.051,13.906,M,32
154,84.067,0.847,85.761,99.264,-208.896,2.496,0.589,0.382,1.539,M,32
155,42.043,0.416,42.876,100.951,-199.794,2.206,0.656,0.327,2.009,M,32
156,73.523,0.72,74.963,102.144,-207.477,4.282,2.006,0.467,4.295,M,32
157,59.704,0.77,61.245,77.496,-200.956,4.703,1.3,0.898,1.448,M,32
158,64.529,0.662,65.853,97.43,-205.084,3.909,1.417,0.561,2.525,M,32
159,42.982,0.677,44.336,63.495,-193.849,5.394,1.9,0.517,3.674,M,32
160,59.287,0.602,60.491,98.513,-204.092,3.131,1.414,NA,NA,M,32
161,55.623,0.565,56.753,98.516,-203.234,5.006,1.565,0.434,3.607,F,32
162,59.89,0.815,61.52,73.503,-200.285,3.784,1.57,0.355,4.424,F,32
163,57.501,0.444,58.389,129.462,-207.358,2.642,2.271,0.122,18.68,F,32
164,40.543,0.5,41.543,81.059,-196.35,5.149,1.549,0.421,3.682,F,32
165,65.289,0.558,66.405,117.014,-207.707,6.397,2.575,0.246,10.45,F,32
166,29.872,0.282,30.435,106.014,-195.851,4.55,2.103,0.197,10.686,F,32
167,67.875,0.869,69.612,78.119,-202.79,3.385,1.986,0.349,5.693,F,32
168,43.617,0.323,44.263,134.892,-204.191,3.081,1.388,0.656,2.118,F,32
169,33.884,0.495,34.873,68.499,-191.668,3.094,1.789,0.242,7.406,F,32
170,48.991,0.78,50.55,62.844,-195.472,5.01,2.386,0.366,6.525,F,32
171,45.294,0.681,46.656,66.497,-195.176,3.257,2.132,0.326,6.541,F,32
172,35.796,0.615,37.025,58.21,-190.216,3.091,1.865,0.205,9.091,F,32
173,51.148,0.553,52.254,92.54,-201.262,2.147,2.079,0.36,5.775,F,32
174,54.028,1.672,57.373,32.304,-187.83,4.265,1.47,0.116,12.649,F,32
175,40.877,0.592,42.062,69.011,-194.294,3.218,1.384,0.071,19.547,F,32
176,43.273,0.675,44.624,64.063,-194.06,3.293,0.942,0.236,3.996,F,32
177,63.604,0.713,65.031,89.172,-203.697,2.104,1.316,0.26,5.058,F,32
178,66.38,0.661,67.702,100.373,-205.865,4.503,0.88,0.463,1.899,F,32
179,48.678,0.681,50.039,71.503,-197.123,3.107,0.792,0.167,4.746,F,32
180,55.553,1.04,57.634,53.392,-194.97,3.074,0.895,0.171,5.219,F,32
181,22.179,0.458,23.096,48.408,-181.289,5.234,0.904,0.274,3.294,F,32
